LONGITUDE,LATITUDE,WEIGHT
0,0,198
42.657,-71.141,2
44.901,8.2069,2
33.749,-84.39,2
30.271,-97.744,52
38.883,-77.11,4
12.979,77.591,66
47.614,-122.19,57
42.36,-71.06,4
40.015,-105.27,9
51.454,-2.5973,1
39.938,-105.06,6
52.203,0.12486,129
13.08,80.284,33
37.323,-122.03,90
39.739,-104.98,7
51.049,13.738,9
53.35,-6.2603,50
31,112,99
41.854,-71.758,2
51.08,7.4029,1
28.489,77.011,5
52.511,-106.42,2
32.678,35.204,9
38.97,-77.386,41
17.389,78.461,36
33.686,-117.83,22
49.212,-2.1256,1
43.127,5.8985,1
19.433,-99.133,2
45.467,9.1905,1
44.977,-93.265,4
48.137,11.575,1
38.428,-84.811,38
40.736,-74.172,19
-26.135,25.655,10
45.421,-75.69,2
42.323,0.24403,135
40.442,-79.99,3
45.52,-122.67,14
18.52,73.854,1
49.782,22.484,59
45.604,9.3006,42
5.1335,10.489,11
47.604,-122.33,1855
37.369,-122.04,160
-33.855,151.22,10
25.038,121.56,5
33.414,-111.91,6
43.654,-79.387,29
6.965,-9.4648,17
49.261,-123.11,113
42.269,-71.613,1
49.884,-97.169,5
51.153,16.798,1
0,0,3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
